fecha,id_respuesta,canal,producto,satisfaccion,comentario,tienda,agente
2025-11-09,2221,tienda,Aspiradora V8,NS/NC,Podría ser más potente (act.),Cartagena,Lucia
2025-11-08,2804,tienda,Aspiradora V8,10,Buen rendimiento,,Antonio
2025-12-28,3633,web,Televisor Z3,4,Podría ser más potente,,Lucia
2025-11-26,420,telefono,Aspiradora V8,2,La entrega se retrasó,,Carmen
2025-12-06,1321,web,Aspiradora V8,3,  Muy útil la explicación del técnico  ,,Antonio
2025-12-23,162,telefono,Televisor Z3,8,El sonido se corta a veces,Lorca,Miguel
2025-12-11,4521,telefono,Smartphone S10,7,Buen rendimiento,,Miguel
2025-12-08,4506,tienda,Aspiradora V8,8,Buen rendimiento,Murcia,Antonio
2025-12-02,1715,telefono,Lavadora L2,7,,,Laura
2025-12-02,4531,web,Portátil X1,4,  Muy útil la explicación del técnico  ,,Carmen
2025-12-19,4720,web,Portátil X1,8,Amable la atención,,Laura
2025-12-19,2786,tienda,  Televisor Z3  ,No sabe/No contesta,"Todo bien, entrega rápida",Cartagena,Antonio
2025-12-05,4653,telefono,  Televisor Z3  ,4,Podría ser más potente,Cartagena,Antonio
2025-11-11,4839,web,Portátil X1,8,Muy buena atención,,Antonio
2025-12-06,2155,telefono,Smartphone S10,4,  La entrega se retrasó  ,Lorca,Lucia
2025-11-21,2557,web,Aspiradora V8,5,Muy buena atención,,Miguel
2025-11-07,3029,web,  Portátil X1  ,8,  Amable la atención  ,,Antonio
2025-11-06,3742,web,Auriculares H7,5,La entrega se retrasó,,Laura
31-12-2025,3796,tienda,  Aspiradora V8  ,3,La entrega se retrasó,,Miguel
2025-11-05,2453,tienda,Smartphone S10,1,Amable la atención,,Miguel
2025-12-12,4671,web,Smartphone S10,8,,,Antonio
2025-11-10,1125,web,Televisor Z3,No sabe/No contesta,El sonido se corta a veces,,Laura
2025-11-24,2942,telefono,Smartphone S10,3,Podría ser más potente,Lorca,Antonio
2025-12-28,2760,telefono,Aspiradora V8,6,La entrega se retrasó,Murcia,Laura
2025-11-29,1180,web,Aspiradora V8,1,Muy útil la explicación del técnico,,Miguel
2025-11-28,4036,telefono,Auriculares H7,7,El sonido se corta a veces,Cartagena,Laura
2025-12-28,1662,telefono,Televisor Z3,7,"Todo bien, entrega rápida",,Miguel
2025-12-03,3598,telefono,Aspiradora V8,10,  Muy buena atención  ,Lorca,Miguel
2025-12-14,4529,telefono,Aspiradora V8,5,Podría ser más potente,Lorca,Antonio
2025-11-06,2319,web,Televisor Z3,No contesta,Buen rendimiento,,Miguel
2025-11-11,3003,web,Lavadora L2,3,El sonido se corta a veces,,Carmen
xx,3955,tienda,Auriculares H7,9,El sonido se corta a veces,Lorca,Laura
2025-11-12,2387,telefono,Televisor Z3,6,Podría ser más potente,,Lucia
2025-11-05,2390,tienda,Aspiradora V8,4,Podría ser más potente,,Antonio
2025-12-19,632,tienda,Televisor Z3,5,Muy buena atención,Lorca,Antonio
2025-11-05,4505,telefono,Aspiradora V8,2,,,Carmen
2025-12-07,1499,web,Lavadora L2,5,Podría ser más potente,,Carmen
2025-11-04,1770,web,Aspiradora V8,No Sabe,"Todo bien, entrega rápida",,Miguel
2025-11-18,4616,telefono,Aspiradora V8,10, (act.),Cartagena,Antonio
2025-11-14,700,telefono,Auriculares H7,8,La entrega se retrasó,Lorca,Antonio
2025-12-27,1391,web,Lavadora L2,100,Muy útil la explicación del técnico,,Carmen
2025-12-28,4470,telefono,Smartphone S10,7,Amable la atención,,Lucia
2025-11-11,471,web,Televisor Z3,5,El sonido se corta a veces,,Laura
2025-11-26,2792,tienda,Portátil X1,5,La entrega se retrasó,Murcia,Lucia
2025-11-10,623,telefono,  Lavadora L2  ,9,El sonido se corta a veces,Murcia,Miguel
2025-12-04,679,web,Smartphone S10,6,La entrega se retrasó,,Antonio
2025-12-12,3398,telefono,Smartphone S10,7,La entrega se retrasó,Cartagena,Carmen
2025-12-24,1837,web,  Lavadora L2  ,10,Podría ser más potente,,Carmen
2025-12-12,4008,web,Auriculares H7,2,El sonido se corta a veces,,Lucia
2025-11-22,1287,tienda,  Aspiradora V8  ,6,El sonido se corta a veces,,Laura
2025-13-01,4307,web,Lavadora L2,1,La entrega se retrasó,,Laura
2025-11-17,4703,tienda,Smartphone S10,7,Buen rendimiento,Lorca,Miguel
2025-12-25,2883,tienda,Televisor Z3,7,Podría ser más potente,Lorca,Lucia
2025-12-05,3453,tienda,Auriculares H7,1,  Amable la atención  ,,Carmen
2025-11-30,877,tienda,Smartphone S10,5,Muy útil la explicación del técnico,Cartagena,Antonio
2025-12-08,2388,telefono,Televisor Z3,5,Muy buena atención,Murcia,Lucia
2025-11-28,3835,web,Smartphone S10,1,Muy útil la explicación del técnico,,Lucia
2025-12-06,2774,web,Auriculares H7,7,  Podría ser más potente  ,,Carmen
2025-12-20,1684,tienda,Portátil X1,7,,Lorca,Antonio
2025-11-04,2191,web,Portátil X1,5,"Todo bien, entrega rápida",,Laura
2025-12-05,276,tienda,Aspiradora V8,9,Muy buena atención,,Carmen
2025-12-28,4772,web,  Portátil X1  ,7,Amable la atención,,Laura
2025-11-10,3693,tienda,Auriculares H7,7,"Todo bien, entrega rápida",Lorca,Laura
2025-11-08,3229,telefono,Smartphone S10,1,Podría ser más potente,,Antonio
31-12-2025,1237,telefono,Aspiradora V8,10,El sonido se corta a veces,,Laura
2025-11-10,2324,web,Televisor Z3,4,Muy útil la explicación del técnico,,Laura
2025-11-17,4770,telefono,Auriculares H7,5,,,Miguel
2025-12-27,1176,tienda,Portátil X1,No contesta,Amable la atención,Cartagena,Lucia
2025-11-13,1562,web,Televisor Z3,6,,,Carmen
2025-11-09,918,web,Lavadora L2,2,,,Miguel
2025-12-16,1732,telefono,Portátil X1,3,  Podría ser más potente  ,,Miguel
2025-11-12,3849,telefono,Aspiradora V8,4,  Muy buena atención  ,Cartagena,Lucia
2025-12-01,3711,web,  Televisor Z3  ,10,Amable la atención,,Miguel
2025-11-08,214,telefono,Televisor Z3,10,El sonido se corta a veces,,Antonio
2025-11-11,4894,tienda,Portátil X1,5,Podría ser más potente,Cartagena,Antonio
2025-12-16,173,tienda,Portátil X1,6,Buen rendimiento,Lorca,Laura
2025-12-12,1033,web,Lavadora L2,4,,,Miguel
2025-11-10,743,web,Auriculares H7,5,Podría ser más potente,,Antonio
2025-12-04,4849,tienda,Aspiradora V8,1,Podría ser más potente,,Laura
2025-12-14,740,telefono,Televisor Z3,6,Amable la atención,,Antonio
2025-12-16,1197,tienda,Lavadora L2,No contesta,,,Antonio
2025-11-14,799,telefono,Aspiradora V8,6,Buen rendimiento,Lorca,Carmen
2025-11-13,4396,tienda,Auriculares H7,2,  La entrega se retrasó  ,Cartagena,Miguel
2025-12-02,3870,telefono,Portátil X1,3,La entrega se retrasó,,Miguel
2025-12-12,2317,web,Auriculares H7,5,  Buen rendimiento  ,,Antonio
2025-11-11,4512,tienda,  Portátil X1  ,9,Amable la atención,,Antonio
2025-11-08,3603,telefono,Smartphone S10,100,"Todo bien, entrega rápida",,Miguel
2025-11-23,4552,telefono,Lavadora L2,1,Muy útil la explicación del técnico,Cartagena,Laura
2025-11-02,1972,tienda,Televisor Z3,No Sabe,  Muy buena atención  ,Lorca,Laura
2025-12-17,4549,telefono,Aspiradora V8,4,"Todo bien, entrega rápida",,Antonio
2025-11-01,1906,tienda,Auriculares H7,6,El sonido se corta a veces,,Antonio
2025-11-03,4873,web,Aspiradora V8,7,Buen rendimiento,,Miguel
2025-12-22,1259,tienda,Auriculares H7,1,Buen rendimiento,Murcia,Antonio
2025-12-15,1460,telefono,Lavadora L2,5,"  Todo bien, entrega rápida  ",Lorca,Antonio
2025-11-18,3919,telefono,Auriculares H7,NA,El sonido se corta a veces,,Lucia
2025-11-29,3358,tienda,Smartphone S10,7,Muy útil la explicación del técnico,Murcia,Laura
2025-11-23,3739,web,Lavadora L2,10,Muy útil la explicación del técnico,,Laura
2025-11-01,1079,tienda,Auriculares H7,3,El sonido se corta a veces,Lorca,Miguel
2025-12-03,388,web,Aspiradora V8,No Sabe,Muy útil la explicación del técnico,,Miguel
2025-12-05,2654,web,Lavadora L2,NA,Amable la atención,,Carmen
2025-11-17,1716,web,Portátil X1,diez,La entrega se retrasó,,Antonio
2025-11-03,454,telefono,Aspiradora V8,9,Podría ser más potente,Cartagena,Miguel
2025-11-12,2406,telefono,Smartphone S10,7,Muy buena atención,,Miguel
2025-12-04,3702,tienda,Portátil X1,5,Muy buena atención,,Miguel
2025-11-05,4863,telefono,Portátil X1,3,Podría ser más potente,Cartagena,Carmen
2025-11-11,2095,telefono,Lavadora L2,7,La entrega se retrasó,Lorca,Antonio
2025-12-25,2268,web,Televisor Z3,4,La entrega se retrasó,,Laura
2025-11-12,1848,web,  Portátil X1  ,2,,,Lucia
2025-11-28,3927,tienda,Televisor Z3,6,La entrega se retrasó,Cartagena,Laura
2025-12-25,935,web,Lavadora L2,7,  Buen rendimiento  ,,Laura
2025-11-16,1137,tienda,Portátil X1,2,,Murcia,Laura
2025-11-05,4895,tienda,Auriculares H7,9,Podría ser más potente,,Carmen
2025-12-28,3753,telefono,Auriculares H7,9,  El sonido se corta a veces  ,,Miguel
2025-11-24,3886,tienda,Smartphone S10,1,El sonido se corta a veces,Lorca,Laura
2025-11-17,1261,web,Lavadora L2,2,El sonido se corta a veces,,Lucia
2025-12-31,2931,tienda,Aspiradora V8,  NS/NC  ,El sonido se corta a veces,Cartagena,Lucia
31-12-2025,2615,tienda,Smartphone S10,  NS/NC  ,El sonido se corta a veces,Cartagena,Miguel
2025-12-24,4067,tienda,Lavadora L2,ocho,Amable la atención,,Lucia
2025-12-14,195,web,Portátil X1,ns/nc,Amable la atención,,Miguel
31-12-2025,3106,web,Auriculares H7,4,Buen rendimiento,,Laura
2025-12-08,4545,telefono,Televisor Z3,-1,Muy útil la explicación del técnico,,Laura
2025-11-27,1546,tienda,Portátil X1,6,Buen rendimiento,,Carmen
2025-11-13,4974,tienda,Portátil X1,No Sabe,Buen rendimiento,Cartagena,Lucia
2025-12-28,4808,telefono,  Aspiradora V8  ,1,La entrega se retrasó,,Carmen
2025-11-01,1992,telefono,Smartphone S10,NA,"Todo bien, entrega rápida",Lorca,Miguel
2025-12-08,4732,tienda,Portátil X1,1,Muy buena atención,Murcia,Miguel
2025-11-27,3444,telefono,  Smartphone S10  ,2,Muy buena atención,,Carmen
2025-12-15,4044,telefono,Auriculares H7,10,,,Carmen
2025-11-24,3664,tienda,Smartphone S10,No contesta,Amable la atención,,Miguel
2025-12-29,626,tienda,Smartphone S10,ns/nc,Muy buena atención,Lorca,Laura
2025-12-18,4420,telefono,Lavadora L2,6,"Todo bien, entrega rápida",Lorca,Lucia
2025-11-15,1436,telefono,Portátil X1,6,Buen rendimiento,Cartagena,Lucia
2025-12-06,808,tienda,Portátil X1,7,"Todo bien, entrega rápida",,Lucia
2025-11-17,449,tienda,Aspiradora V8,6,Muy útil la explicación del técnico,Lorca,Miguel
2025-12-09,932,tienda,Smartphone S10,10,Muy buena atención (act.),,Laura
2025-12-13,2821,tienda,Lavadora L2,9,Buen rendimiento,Cartagena,Lucia
2025-11-14,3558,telefono,Portátil X1,6,Amable la atención,,Antonio
2025-11-29,3160,tienda,Smartphone S10,1,La entrega se retrasó,,Antonio
2025-12-17,2174,tienda,Lavadora L2,7,"Todo bien, entrega rápida",,Miguel
2025-12-27,3418,web,Smartphone S10,No Sabe,"Todo bien, entrega rápida",,Lucia
2025-12-11,3021,telefono,Aspiradora V8,9,El sonido se corta a veces,,Antonio
2025-12-01,359,web,Lavadora L2,5,Buen rendimiento,,Carmen
2025-12-28,3219,telefono,Smartphone S10,7,Buen rendimiento,,Lucia
2025-12-09,4005,web,Smartphone S10,No Sabe,Buen rendimiento,,Lucia
2025-12-11,3016,web,Lavadora L2,1,Buen rendimiento,,Laura
2025-11-14,4677,web,Aspiradora V8,1,  La entrega se retrasó  ,,Carmen
2025-12-03,373,web,Portátil X1,6,"  Todo bien, entrega rápida  ",,Lucia
2025-12-03,196,telefono,Smartphone S10,1,Muy buena atención,Cartagena,Miguel
2025-12-28,3482,web,Portátil X1,7,,,Antonio
2025-12-08,4491,telefono,Aspiradora V8,8,"Todo bien, entrega rápida",Cartagena,Laura
2025-12-05,5,web,Smartphone S10,2,,,Carmen
2025-12-20,2510,tienda,Smartphone S10,7,Muy buena atención,,Carmen
2025-12-02,1429,web,Smartphone S10,8,"Todo bien, entrega rápida",,Carmen
2025-12-15,4078,web,Auriculares H7,10,  Amable la atención  ,,Antonio
2025-12-05,3327,web,Portátil X1,3,Podría ser más potente,,Antonio
2025-12-05,2859,web,Aspiradora V8,4,,,Carmen
2025-12-01,2999,web,Lavadora L2,7,Amable la atención,,Lucia
2025-12-19,2005,tienda,Auriculares H7,3,  Podría ser más potente  ,,Miguel
2025-11-08,682,web,Smartphone S10,  NS/NC  ,Amable la atención,,Miguel
2025-11-20,1998,web,Lavadora L2,6,Muy útil la explicación del técnico,,Lucia
2025-12-08,2058,telefono,Portátil X1,100,La entrega se retrasó,Lorca,Lucia
2025-11-11,4950,telefono,Televisor Z3,4,"Todo bien, entrega rápida",,Lucia
31-12-2025,890,tienda,Auriculares H7,2,"  Todo bien, entrega rápida  ",,Carmen
2025-11-07,2493,web,Televisor Z3,3,Buen rendimiento,,Miguel
2025-11-24,4006,web,Smartphone S10,No contesta,El sonido se corta a veces,,Carmen
2025-11-04,1950,telefono,Portátil X1,ns/nc,Muy buena atención,Murcia,Antonio
2025-12-15,84,tienda,Lavadora L2,nueve,,,Lucia
2025-11-16,29,tienda,  Smartphone S10  ,3,La entrega se retrasó,Murcia,Carmen
2025-12-27,1611,tienda,Portátil X1,2,,Cartagena,Miguel
2025-11-09,2662,tienda,Televisor Z3,7,Muy útil la explicación del técnico,,Carmen
2025-12-13,2623,tienda,Auriculares H7,8,El sonido se corta a veces,,Antonio
2025/12/40,941,telefono,Smartphone S10,4,La entrega se retrasó,Lorca,Antonio
2025-11-05,3363,telefono,Aspiradora V8,8,Amable la atención,,Carmen
2025-11-23,460,telefono,Aspiradora V8,nueve,La entrega se retrasó,,Carmen
2025-12-12,1742,tienda,Auriculares H7,8,Podría ser más potente,,Lucia
2025-12-17,841,telefono,Televisor Z3,8,Podría ser más potente,Cartagena,Antonio
2025-11-06,475,web,Lavadora L2,4,Buen rendimiento,,Carmen
2025-12-18,4064,web,Televisor Z3,3,Buen rendimiento,,Miguel
2025-12-21,4052,web,Portátil X1,No sabe/No contesta,,,Laura
2025-12-29,2562,web,Aspiradora V8,7,Podría ser más potente,,Laura
2025-12-25,1730,telefono,Televisor Z3,7,El sonido se corta a veces,Lorca,Lucia
2025-11-02,2972,telefono,  Aspiradora V8  ,11,Buen rendimiento,,Lucia
2025-12-08,4886,web,Lavadora L2,7,,,Miguel
2025-11-30,724,web,Portátil X1,8,Muy buena atención,,Carmen
2025-12-28,1091,telefono,Auriculares H7,3,La entrega se retrasó,Lorca,Carmen
2025-12-30,4345,tienda,Televisor Z3,9,El sonido se corta a veces,,Antonio
2025-12-08,3031,tienda,Smartphone S10,5,Podría ser más potente,,Miguel
2025-11-18,4946,web,Televisor Z3,No sabe/No contesta,,,Lucia
2025-11-20,505,web,Televisor Z3,9,Amable la atención,,Laura
2025-11-09,3340,telefono,Smartphone S10,7,Amable la atención,,Lucia
2025-12-04,3355,telefono,Televisor Z3,4,El sonido se corta a veces,Lorca,Miguel
2025-11-30,2867,web,Aspiradora V8,6,Muy buena atención,,Miguel
2025-12-11,3747,telefono,Televisor Z3,2,La entrega se retrasó,,Antonio
2025-11-18,595,tienda,Lavadora L2,1,Amable la atención,Cartagena,Miguel
2025-11-25,738,web,  Smartphone S10  ,5,Muy buena atención,,Miguel
2025-12-20,4143,tienda,Smartphone S10,2,Muy útil la explicación del técnico,,Laura
2025-11-28,3301,web,Aspiradora V8,NA,Podría ser más potente,,Lucia
2025-11-02,4728,telefono,Auriculares H7,3,Muy útil la explicación del técnico,,Carmen
2025-12-09,2685,tienda,Televisor Z3,1,Podría ser más potente,Cartagena,Antonio
2025-11-05,3775,telefono,  Lavadora L2  ,3,La entrega se retrasó,Cartagena,Lucia
2025-12-31,2990,telefono,Aspiradora V8,10,Buen rendimiento,,Carmen
2025-12-16,2055,telefono,Televisor Z3,7,Muy útil la explicación del técnico,,Lucia
2025-11-18,1808,web,Aspiradora V8,7,Muy útil la explicación del técnico,,Laura
2025-11-05,832,web,Aspiradora V8,7,,,Carmen
2025-11-30,1209,web,Portátil X1,2,Muy buena atención,,Laura
2025-11-06,1126,web,  Lavadora L2  ,No Sabe,Muy útil la explicación del técnico,,Lucia
2025-11-07,1004,tienda,  Lavadora L2  ,3,La entrega se retrasó,,Laura
2025-11-07,2812,web,Aspiradora V8,7,Buen rendimiento,,Antonio
2025-11-22,4264,web,Smartphone S10,No Sabe,El sonido se corta a veces,,Carmen
2025-12-24,2668,tienda,Aspiradora V8,6,Podría ser más potente,,Laura
2025-11-10,2324,web,Televisor Z3,11,Muy útil la explicación del técnico (act.),,Laura
2025-12-17,1058,tienda,Televisor Z3,2,La entrega se retrasó,,Laura
2025-12-20,4625,telefono,Smartphone S10,No Sabe,Amable la atención,Murcia,Lucia
2025-11-09,3602,tienda,  Lavadora L2  ,8,"Todo bien, entrega rápida",Lorca,Carmen
2025-12-19,1584,telefono,Aspiradora V8,2,,Cartagena,Antonio
2025-12-21,2943,web,  Lavadora L2  ,11,El sonido se corta a veces,,Antonio
2025-11-27,319,web,Auriculares H7,9,Podría ser más potente,,Antonio
2025-11-22,4405,web,Smartphone S10,6,"Todo bien, entrega rápida",,Carmen
2025-11-01,2558,web,Lavadora L2,2,El sonido se corta a veces,,Miguel
2025-12-14,1230,tienda,Portátil X1,8,Muy útil la explicación del técnico,Murcia,Laura
2025-11-27,2377,tienda,  Portátil X1  ,3,Podría ser más potente,,Laura
2025-12-08,3518,telefono,Televisor Z3,4,Buen rendimiento,,Laura
2025-12-10,2421,telefono,Aspiradora V8,4,"  Todo bien, entrega rápida  ",Cartagena,Carmen
2025-12-31,616,telefono,  Aspiradora V8  ,3,Podría ser más potente,,Laura
2025-12-25,3508,telefono,  Auriculares H7  ,9,El sonido se corta a veces,Murcia,Lucia
2025-12-04,957,telefono,Lavadora L2,4,La entrega se retrasó,,Antonio
2025-00-15,1448,tienda,Smartphone S10,No contesta,  Muy útil la explicación del técnico  ,Cartagena,Laura
2025-12-09,3983,tienda,Televisor Z3,-1,Muy útil la explicación del técnico,Cartagena,Miguel
2025-11-14,3165,tienda,Portátil X1,6,Muy útil la explicación del técnico,,Lucia
2025-12-19,2531,telefono,Smartphone S10,5,  Amable la atención  ,,Miguel
2025-12-24,408,telefono,Lavadora L2,8,,,Laura
2025-12-21,3061,web,Televisor Z3,10,Buen rendimiento,,Carmen
2025-11-27,4810,telefono,Portátil X1,5,Podría ser más potente,,Laura
2025-12-14,562,tienda,Lavadora L2,2,Muy buena atención,,Laura
2025-11-01,2988,telefono,Auriculares H7,9,Amable la atención,Lorca,Carmen
2025-11-06,4417,tienda,Aspiradora V8,5,Podría ser más potente,,Carmen
2025-12-12,3220,tienda,Televisor Z3,diez,Amable la atención,Murcia,Miguel
2025-11-04,80,web,Lavadora L2,nueve,La entrega se retrasó,,Lucia
2025-12-15,450,web,Portátil X1,4,,,Lucia
2025-12-11,4489,tienda,Auriculares H7,1,Podría ser más potente,,Laura
2025-12-09,563,tienda,  Televisor Z3  ,10,Amable la atención,,Carmen
2025-12-30,4834,telefono,  Smartphone S10  ,10,  Muy útil la explicación del técnico  ,Murcia,Carmen
2025-12-17,3674,telefono,Aspiradora V8,9,,Murcia,Miguel
2025-12-11,139,telefono,Lavadora L2,6,Muy buena atención,Murcia,Laura
2025-12-22,343,web,Televisor Z3,1,Muy útil la explicación del técnico,,Laura
2025-12-28,1408,web,  Portátil X1  ,4,La entrega se retrasó,,Carmen
2025-12-07,1885,web,Auriculares H7,1,"  Todo bien, entrega rápida  ",,Antonio
2025-11-02,4466,web,Lavadora L2,8,"  Todo bien, entrega rápida  ",,Carmen
2025-12-17,2712,telefono,Portátil X1,9,,Murcia,Miguel
2025-11-27,2756,web,Televisor Z3,5,,,Antonio
2025-11-18,2947,telefono,Auriculares H7,4,El sonido se corta a veces,Cartagena,Carmen
31-12-2025,1356,telefono,  Smartphone S10  ,3,,Lorca,Antonio
2025-12-03,3740,telefono,Smartphone S10,9,,Murcia,Antonio
2025-12-22,2186,web,Auriculares H7,2,,,Antonio
2025-11-06,2855,web,Smartphone S10,3,Muy útil la explicación del técnico,,Carmen
2025-12-16,951,web,Auriculares H7,9,Muy buena atención,,Miguel
2025-11-12,1758,tienda,Auriculares H7,5,,,Miguel
2025-11-30,3606,tienda,Aspiradora V8,100,,Cartagena,Antonio
2025-11-22,3539,web,Portátil X1,  NS/NC  ,Amable la atención,,Miguel
2025-12-15,1179,telefono,Aspiradora V8,4,Muy útil la explicación del técnico,,Lucia
